filename,text
455_2_6.txt,кили  сатоуты
275_23_8.txt,тованi датском чрез голштенского
103_96_13.txt,щию божиею офензиве сию компанию
448_10_15.txt,весть до по i тотчас пороги iзмѣрет i бу
347_51_1.txt,вах доволно о всем iзяснено аднако ж нынѣ еше
179_4_11.txt,островам iтит мнѣ кажетца когда пойдете к ревелю
374_16_14.txt,апърѣля
289_34_15.txt,ла о елзенфорсе [которую прилагаю при сем]
328_28_11.txt,толко шонен которой
359_4_5.txt,нит на что матвѣй симантоф горазда подымает
425_34_0.txt,понеже пишете что урбих
41_17_2.txt,видетца готовы еше присится с нашей стороны
92_77_21.txt,в померанию конечно пош
446_4_9.txt,всего свѣта в милос
40_9_5.txt,посылаю со фъсѣх писем трипликаты
241_32_11.txt,да датчаня [iмѣя ревъность но не по разу
25_17_12.txt,ро были к нам
59_18_1.txt,раниi еще опъределено диви
59_15_5.txt,яко с аксилиарними войски
56_7_10.txt,i датским чего для ежели так будет
302_56_0.txt,более
40_1_9.txt,го iли i долго что к половинѣ сенте
19_3_7.txt,iбо почал отступат i жечь i зжегъ
374_16_29.txt,чево iбо все отсел пришлем когда о сем от вас
350_56_23.txt,такъ виноваты как от них к в д
25_17_10.txt,наперет знат i чтоб оных как возможно
139_9_10.txt,ное прегрешение оставъляетца на с
293_39_20.txt,сказываютца что голанцы [которых
56_7_12.txt,ем за что так с нашими людми поступают
398_3_0.txt, також i картины [как слышим]
413_14_28.txt,держат кото
295_40_12.txt,найдетца что оныя подлинныя голанцы чтоб
275_24_4.txt,iх не жеч для того что болным до
337_47_0.txt,2
308_56_21.txt,купили четыре iли пят караблѣй [о чем мы i на
274_19_13.txt,чин первое что денегъ нѣт другое что
260_53_19.txt,просил чтоб нашим iтит тута ж а суп
220_13_1.txt,вѣдомость что транспортъ
314_11_31.txt,человѣк в шеренгѣ iт iду
284_37_7.txt,iз магазена
241_32_22.txt,но +
268_1_12.txt,писи буде же сего
314_11_19.txt,ф м к м послана на пъ
197_1_16.txt,вам совѣтую дабы вы поопаснѣе были
460_5_5.txt,то ж кож i ябедником да послѣдует
59_18_3.txt,я також буду к войску в померанию
437_43_17.txt,ремени когда оберетца от бом
419_22_11.txt,400
257_49_16.txt,лше выгоды а на наших не смотрит
460_8_3.txt,небо i землю всяческая
53_4_13.txt,тъ при сем посылаю которой обяви
55_6_13.txt,на сем береге о чем горазда сие его величес
220_11_3.txt,от стралзунта i тому быт невозможно iбо
196_9_2.txt,сего часа получили мы вѣ
302_51_3.txt,i дабы домо яко дитя остался
326_26_13.txt,i о старай материi
212_34_10.txt,в один i к тому
